Latitude (º),Longitude (º),Month,Day,Year,Non-adjusted plastic concentration (items km-2)  ,Pieces<5mm/km^2,Pieces>5mm/km^2,Total Weight (g)/km^2,Weight (g) <5mm/ km^2,Weight (g) >5mm/km^2,Source,Note,,,,,,,,,,,
63.57,-53.12,6,15,2011,14251,,,7.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2. 300um net?,,,,,,,,,,,
60.46,-49.54,6,12,2011,1542,,,5.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
51.15,-27.33,6,5,2011,586,,,0.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
49.47,-23.68,6,4,2011,13884,,,17.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
45.58,-44.83,8,15,2011,539,,,0.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
45.32,-43.72,8,15,2011,9256,,,1.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
44.8,-41.58,8,16,2011,3681,,,36.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
44.47,-40.65,8,16,2011,1799,,,0.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
44.23,-13.52,9,5,2011,3157,,,0.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
43.57,-37.65,8,17,2011,52195,,,133.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
41.57,-14.73,4,8,2011,20793,,,12.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
41.24,-17.14,4,7,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
41.01,-21.81,4,6,2011,16957,,,117.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
40.07,-26.25,4,5,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
39.77,-25.37,9,2,2011,20055,,,13.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
39.47,-31.3,8,19,2011,37796,,,29.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
39.13,-30.7,4,4,2011,19070,,,3.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
38.75,-27.42,9,1,2011,45861,,,20.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
37.78,-34.86,4,3,2011,28900,,,85.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
36.43,-39.02,4,2,2011,18323,,,958.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
34.7,-15,10,13,2012,4125,,,2.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
34.68,-43.35,4,1,2011,179602,,,738.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
33.13,-46.79,3,31,2011,7757,,,11.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
32.91,-14.61,7,11,2011,29795,,,42.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
32.08,-17.27,7,10,2011,81719,,,417.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
31.62,-50.48,3,30,2011,244659,,,971.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
30.97,-20.65,7,9,2011,5902,,,0.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
29.97,-23.69,7,8,2011,8766,,,15.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
29.68,-17.29,12,19,2010,30556,,,15.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
29.01,-53.68,3,29,2011,190110,,,157.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
28.87,-26.95,7,7,2011,21191,,,102.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
27.97,-29.65,7,6,2011,34785,,,216.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
26.91,-32.84,7,5,2011,17992,,,260.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
26.53,-56.3,3,28,2011,42509,,,89.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
26.11,-35.26,7,4,2011,171997,,,772.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
24.98,-21.06,12,21,2010,3055,,,1.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
24.84,-38.71,7,3,2011,18219,,,11.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
23.74,-41.9,7,2,2011,6143,,,28.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
23.27,-22.22,12,22,2010,19803,,,41.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
22.86,-44.53,7,1,2011,16723,,,10.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
22.41,-62.48,3,26,2011,4636,,,2.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
21.89,-155.66,5,14,2011,225115,,,560.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
21.74,-47.79,6,30,2011,17079,,,46.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
21.57,-153.42,5,15,2011,51623,,,283.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
21.45,-23.45,12,23,2010,29530,,,10.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
21.06,-150.32,5,16,2011,31290,,,217.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
20.8,-50.14,6,29,2011,14514,,,47.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
20.78,-148.27,5,17,2011,49452,,,218.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
20.47,-65.25,3,25,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
20.34,-145.2,5,18,2011,13029,,,38.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
20.26,-24.25,12,24,2010,7028,,,1.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
19.99,-52.64,6,28,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
19.89,-141.59,5,19,2011,8335,,,31.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
19.28,-138.97,5,20,2011,11005,,,5.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
19.26,-66.91,3,24,2011,5081,,,2.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
19,-55.15,6,27,2011,879,,,0.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
18.65,-136.18,5,21,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
18.06,-57.8,6,26,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
18.03,-133.26,5,22,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
17.43,-59.83,6,25,2011,13651,,,0.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
17.4,-130.61,5,23,2011,28986,,,10.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
16.63,-127.54,5,24,2011,13001,,,0.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
16.11,-25.97,12,25,2010,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
15.91,-124.47,5,25,2011,3241,,,7.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
15.53,-67.01,6,23,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
15.31,-122,5,26,2011,13979,,,13.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
15.07,-69.3,6,22,2011,6212,,,0.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
15,-160.82,5,6,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
14.54,-118.78,5,27,2011,20727,,,40.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
14.52,-26,12,26,2010,5725,,,5.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
13.8,-115.76,5,28,2011,70073,,,40.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
13.21,-113.26,5,29,2011,83841,,,25.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
12.5,-25.99,12,27,2010,11026,,,55.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
12.5,-110.39,5,30,2011,36475,,,33.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
12,-108.08,5,31,2011,39256,,,130.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
11.6,-162.42,5,5,2011,7878,,,1.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
11.35,-105.01,6,1,2011,15257,,,51.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
10.76,-102.44,6,2,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
10.09,-99.25,6,3,2011,137877,,,171.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
9.56,-25.99,12,28,2010,5000,,,0.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
9.45,-96.35,6,4,2011,37016,,,98.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
9.2,-163.5,5,4,2011,9967,,,90.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
8.75,-93.15,6,5,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
8.14,-90.37,6,6,2011,13814,,,1.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
7.32,-26,12,29,2010,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
7.22,-87.96,6,7,2011,11552,,,5.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
7,-164.38,5,3,2011,3793,,,0.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
5.91,-84.79,6,8,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
4.99,-26,12,30,2010,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
3.75,-165.77,5,2,2011,11289,,,1.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
2.46,-26.01,12,31,2010,44961,,,4.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
1.6,-166.85,5,1,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
0.18,-26.02,1,1,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-1.37,-168.35,4,30,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-3.03,-27.33,1,2,2011,2887,,,1.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-3.41,-169.46,4,29,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-4.78,-28.17,1,3,2011,16004,,,16.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-5.75,-170.75,4,28,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-7.04,-171.47,4,27,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-7.28,-29.32,1,4,2011,11424,,,0.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-9.13,-30.19,1,5,2011,791,,,0.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-9.45,-172.35,4,26,2011,3059,,,0.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-11.08,-172.64,4,25,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-11.64,-31.37,1,6,2011,20831,,,3.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-13.54,-173.37,4,24,2011,29538,,,1.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-13.74,-32.38,1,7,2011,3737,,,0.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-15.83,-33.4,1,8,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-15.91,-174.5,4,23,2011,17444,,,14.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-18.42,-34.64,1,9,2011,23650,,,14.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-18.57,-175.83,4,22,2011,5805,,,4.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-20.66,-176.93,4,21,2011,23572,,,42.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-21.09,-35.97,1,10,2011,3383,,,1.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-22.95,-36.92,1,11,2011,31597,,,23.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-23.38,-178.21,4,20,2011,0,,,0.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-24.32,-36.22,1,19,2011,116747,,,13.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
-24.81,-33.46,1,20,2011,79607,,,319.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^2,,,,,,,,,,,
