Lat. Start,Long. Start,Month,Day,Year,pieces/km^2,Microplastic/km^2,Macroplastic/km^2,Total Weight,Macroplastic weight,Microplastic Weight,Source ,Note,,,,Sea State (Beaufort scale),(Boat) Speed (knots),Direction (degrees bearing),Distance (nautical miles),Wind Speed (knots),Lat. End,Long. End,"Counts, <5mm, Fragment","Counts, <5mm, Pellet","Counts, <5mm, Line","Counts, <5mm, Thin Film","Counts, <5mm, Foam","Counts, >5mm, Fragment","Counts, >5mm, Pellet","Counts, >5mm, Line","Counts, >5mm, Thin Film","Counts, >5mm, Foam",Total Counts <5mm,Total Counts >5mm,Frag,Pellet,Total Counts All,km^2
52.36917,2.81889,6,14,2014,759.2376377,127,633,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3,4.3,220,,12,52.18528,2.58417,2,0,0,0,0,10,0,0,0,0,2,10,12,0,12,0.015805328
51.06917,1.33361,6,16,2014,1358.191774,1358,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,,5.5,175,,10,50.98361,1.20139,11,0,0,0,0,0,0,0,0,0,11,0,11,0,11,0.008099004
50.38583,-1.66917,6,17,2014,230.7607383,231,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,1,5.5,240,,10,50.21917,-2.31806,7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0.03033445
47.96722,-5.78583,6,22,2014,361.2212165,361,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3,5,249,,14,47.83556,-6.01917,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0.013841933
46.16917,-6.83528,6,23,2014,156.113997,39,117,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2,4,235,,9,45.83417,-7.08556,1,0,0,0,0,1,0,2,0,0,1,3,2,0,4,0.025622302
37.65111,-9.13417,7,7,2014,53.33213773,53,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2,,,,12,37.38333,-9.05194,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.01875042
36.235,-6.68333,7,8,2014,0,0,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2-Jan,,,,6,36.15194,-6.33583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
36.10194,-5.30056,7,11,2014,128.942257,64,64,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,1,,,,0,36.31917,-4.80222,2,0,0,0,0,0,0,2,0,0,2,2,2,0,4,0.031021638
36.63472,-2.26722,7,12,2014,0,0,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,1,,,,,36.70083,-2.06833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
37.55,-0.035,7,15,2014,276.3762331,39,237,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3-Feb,5,,,,37.83556,0.26778,1,0,0,0,0,2,0,3,1,0,1,6,3,0,7,0.025327793
38.21889,13.28583,9,16,2014,5690.747657,5093,598,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2-Jan,5-Mar,270,31.1,,38.3,12.63556,160,5,3,11,0,17,0,4,0,0,179,21,177,5,200,0.035144767
38.51722,11.00028,9,17,2014,618.2520359,618,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3-Feb,"4-5,7",280-260,29.9,9,38.38583,10.38389,18,1,1,1,0,0,0,0,0,0,21,0,18,1,21,0.03396673
38.1,8.41861,9,18,2014,5520.894044,4121,1400,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,1-Mar,"4,5-5",270,22.8,10,37.96833,7.96778,92,1,7,6,0,25,0,8,3,0,106,36,117,1,142,0.025720472
37.78361,6.435,9,19,2014,3244.873493,2280,965,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2,"6,1-3,5",260,43.2,9,37.70194,5.53417,91,1,4,12,3,35,0,3,9,0,111,47,126,1,158,0.048692191
37.05,1.55139,9,21,2014,791.6920963,633,158,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2,"5,1-2,9",270,,9,36.96917,1.2175,8,1,2,1,0,3,0,0,0,0,12,3,11,1,15,0.01894676
36.76861,-0.63556,9,22,2014,892.83523,406,487,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,6-Feb,"5,1-3,5",268-295,,7,36.73444,-1.08556,7,0,1,2,0,3,0,8,1,0,10,12,10,0,22,0.024640605
10.59492,-61.58177,2,28,2015,33486.91333,33086,401,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2,"3,2-3,7",170,4.4,3,10.5281,-61.55068,163,2,0,0,0,2,0,0,0,0,165,2,165,2,167,0.004987023
17.945,-62.91167,3,26,2015,0,0,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3,"4,5",309,8.3,9,17.99833,-63.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
18.26717,-63.20883,4,2,2015,0,0,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,,,,,13,18.06917,-63.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
19.896,-63.50333,4,3,2015,0,0,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,,,,,15,19.92867,-63.5065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
20.035,-63.5215,4,3,2015,151.2837372,151,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,,,,,,20.32667,-63.50667,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0.019830287
23.49833,-63.97167,4,5,2015,1023.762644,870,154,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,,,10,,,23.78083,-64.033,17,0,0,0,0,3,0,0,0,0,17,3,20,0,20,0.019535778
25.08333,-64.295,4,6,2015,1212.671227,1031,182,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,4-Mar,,,,,25.32533,-64.31433,57,1,0,0,0,10,7,0,0,0,17,3,67,8,20,0.016492516
25.35617,-64.361,4,6,2015,2778.119538,2148,630,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,4-Mar,,,,,25.74583,-64.2775,17,0,0,0,0,0,0,0,0,0,58,17,17,0,75,0.026996679
27.47167,-63.86833,4,7,2015,1186.092131,1186,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3,5,,,,27.68233,-63.86,122,2,15,18,0,3,0,17,11,0,17,0,125,2,17,0.014332782
28.539,-63.95483,4,8,2015,3924.28361,3277,647,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,Long 2 m waves,"6,1-3,5",,,,29.24383,-63.95867,0,0,0,0,0,1,0,2,0,0,157,31,1,0,188,0.047906833
30.44667,-63.75633,4,9,2015,179.760676,0,180,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2. Calm 1 m waves,4,,,,30.69217,-63.73283,113,0,4,3,0,18,0,7,2,0,0,3,131,0,3,0.016688856
31.37695,-64.85395,4,18,2015,2901.950448,1836,1066,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,High waves,"6,5",136,15,,31.19808,-64.6507,31,0,0,0,0,7,0,8,3,0,31,18,38,0,49,0.016885195
30.15443,-63.61903,4,19,2015,7302.485643,6403,900,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,2-3. 2 m waves,"6,2",145,33,,29.69288,-63.2614,191,1,41,9,0,5,0,29,0,0,242,34,196,1,276,0.03779535
28.29927,-62.2126,4,20,2015,14350.70554,13005,1345,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,Calm waves,"2,8",170,14,15,28.07195,-62.1688,175,1,27,0,0,10,0,11,0,0,203,21,185,1,224,0.015608989
27.15385,-62.44522,4,21,2015,6612.249427,5674,938,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,"3. 0,5 m waves","4,7",140,21,,26.88645,-62.2291,115,0,12,0,0,8,0,13,0,0,127,21,123,0,148,0.022382701
25.813,-61.79033,4,22,2015,2727.893648,2175,552,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,,,160,26,,25.41217,-61.6275,56,0,7,0,0,4,0,12,0,0,63,16,60,0,79,0.028960073
24.18452,-60.91702,4,23,2015,9875.876162,7516,2360,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,3,4,181,15,,23.94723,-60.9221,110,2,7,2,0,13,0,25,0,0,121,38,123,2,159,0.016099837
20.81783,-61.6345,4,25,2015,129.4886225,86,43,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,"2. 0,5 m high waves",6,206,21,,20.50983,-61.79267,2,0,0,0,0,0,0,1,0,0,2,1,2,0,3,0.023168059
18.96195,-62.53098,4,26,2015,713.6994991,714,0,,,,Plastic Change,"Not adjusted, Macroplastic cut off at 5mm, have data on sea state.",,,,4. 2 m. waves,"4,5",223,14,,18.79487,-62.69428,7,0,4,0,0,0,0,0,0,0,11,0,7,0,11,0.015412649
